model_i,model_j,mean_dm,median_p,frac_seeds_sig
RandomForest,ELM+poly2,6.431050017079416,8.354604164615836e-10,1.0
RandomForest,qrc_v4,-9.761873797329528,1.439372763168433e-19,1.0
RandomForest,qrc_v6,-9.245933788594602,3.7504461059453614e-19,1.0
RandomForest,qrc_rich,6.412691073497119,9.218451832893297e-10,1.0
RandomForest,ESN(F=16),-10.269761272905146,1.7495253251471601e-19,1.0
RandomForest,ESN(F=24),-9.13132859708563,3.365355458772982e-23,1.0
RandomForest,ESN(F=96),0.3320797755493169,0.21723944362947287,0.2
qrc_v4,NG-RC(k3d2),9.81256991656942,9.750680532960142e-20,1.0
qrc_v4,ESN,9.803769336398407,1.0414016664430491e-19,1.0
qrc_v4,ELM,9.81256427113917,9.751167265012535e-20,1.0
qrc_v4,ELM+poly2,9.812568812566036,9.75075478538364e-20,1.0
qrc_v4,RandomForest,9.761873797329528,1.439372763168433e-19,1.0
qrc_v4,qrc_v6,2.314100049908899,0.007822206433755901,0.6
qrc_v4,qrc_rich,9.812425818010412,9.762351469605751e-20,1.0
qrc_v4,ESN(F=16),9.339760074990622,3.6248245074233696e-18,1.0
qrc_v4,ESN(F=24),9.530329968907015,1.3390844267341395e-18,1.0
qrc_v4,ESN(F=96),9.778010709274488,1.4944575284590282e-19,1.0
qrc_v6,NG-RC(k3d2),9.308672373751445,2.2722772219577927e-19,1.0
qrc_v6,ESN,9.297684713895155,2.4698433290888247e-19,1.0
qrc_v6,ELM,9.308666360253133,2.272396795882811e-19,1.0
qrc_v6,ELM+poly2,9.30867108811402,2.272300782808116e-19,1.0
qrc_v6,RandomForest,9.245933788594602,3.7504461059453614e-19,1.0
qrc_v6,qrc_v4,-2.314100049908899,0.007822206433755901,0.6
qrc_v6,qrc_rich,9.308483560292732,2.2760485806201205e-19,1.0
qrc_v6,ESN(F=16),8.627557476380556,9.789045631289544e-16,1.0
qrc_v6,ESN(F=24),8.920820363793968,1.5049705218541577e-16,1.0
qrc_v6,ESN(F=96),9.264546981985877,3.7750034434364185e-19,1.0
qrc_rich,NG-RC(k3d2),13.731552276234883,1.512124534465717e-33,1.0
qrc_rich,ESN,-11.999959734217288,9.974384277681232e-28,1.0
qrc_rich,ELM,13.078820999799834,6.927719679090324e-32,1.0
qrc_rich,ELM+poly2,13.609050762327646,4.658218305877311e-33,1.0
qrc_rich,RandomForest,-6.412691073497119,9.218451832893297e-10,1.0
qrc_rich,qrc_v4,-9.812425818010412,9.762351469605751e-20,1.0
qrc_rich,qrc_v6,-9.308483560292732,2.2760485806201205e-19,1.0
qrc_rich,ESN(F=16),-11.573862943433745,2.550053648813979e-29,1.0
qrc_rich,ESN(F=24),-12.494730071065977,1.1869888464912907e-29,1.0
qrc_rich,ESN(F=96),-11.169844945081026,2.1585552289437192e-23,1.0
ESN(F=16),NG-RC(k3d2),11.576710866001749,2.4319255874809128e-29,1.0
ESN(F=16),ESN,11.385695546110174,8.618704516720184e-28,1.0
ESN(F=16),ELM,11.57657801525713,2.4362563964643754e-29,1.0
ESN(F=16),ELM+poly2,11.576684613005543,2.4330365556053e-29,1.0
