model_i,model_j,mean_dm,median_p,frac_seeds_sig
ELM,ESN+poly2,-19.432358036007184,3.93328478908409e-64,1.0
ELM,ELM+poly2,14.650556919195454,1.309450548364419e-35,1.0
ELM,RandomForest,-8.201010907199604,2.1521561610215565e-15,1.0
ELM,Linear-Ridge,-21.797916378226265,5.697758877996154e-78,1.0
ELM+poly2,NG-RC(best),0.0,1.0,0.0
ELM+poly2,NG-RC(d1),-21.639317984042677,3.924174139065904e-77,1.0
ELM+poly2,NG-RC(d2),0.0,1.0,0.0
ELM+poly2,NG-RC(d3),0.0,1.0,0.0
ELM+poly2,ESN,-19.410211017967928,1.0194503006589929e-66,1.0
ELM+poly2,ESN+poly2,-19.44955324264575,3.193506182635873e-64,1.0
ELM+poly2,ELM,-14.650556919195454,1.309450548364419e-35,1.0
ELM+poly2,RandomForest,-8.201980243615388,2.1347150913045245e-15,1.0
ELM+poly2,Linear-Ridge,-21.79791710283837,5.69770775338723e-78,1.0
RandomForest,NG-RC(best),8.202177956351143,2.131552847557364e-15,1.0
RandomForest,NG-RC(d1),-21.631701503847697,4.3030623968598034e-77,1.0
RandomForest,NG-RC(d2),8.202177956351143,2.131552847557364e-15,1.0
RandomForest,NG-RC(d3),8.20217765417663,2.1315575262598984e-15,1.0
RandomForest,ESN,6.300855929954647,7.292510647192344e-10,1.0
RandomForest,ESN+poly2,7.098221354423001,1.0815380655828554e-11,1.0
RandomForest,ELM,8.201010907199604,2.1521561610215565e-15,1.0
RandomForest,ELM+poly2,8.201980243615388,2.1347150913045245e-15,1.0
RandomForest,Linear-Ridge,-21.78985109609475,6.284419676628239e-78,1.0
Linear-Ridge,NG-RC(best),21.797917250944536,5.697697651149952e-78,1.0
Linear-Ridge,NG-RC(d1),-3.583700233418561,0.0003663720731838125,1.0
Linear-Ridge,NG-RC(d2),21.797917250944536,5.697697651149952e-78,1.0
Linear-Ridge,NG-RC(d3),21.79791725067989,5.697697669504082e-78,1.0
Linear-Ridge,ESN,21.79657492138438,5.79423585366009e-78,1.0
Linear-Ridge,ESN+poly2,21.79708263661269,5.757193210356003e-78,1.0
Linear-Ridge,ELM,21.797916378226265,5.697758877996154e-78,1.0
Linear-Ridge,ELM+poly2,21.79791710283837,5.69770775338723e-78,1.0
Linear-Ridge,RandomForest,21.78985109609475,6.284419676628239e-78,1.0
