model_i,model_j,mean_dm,median_p,frac_seeds_sig
RandomForest,ELM,17.04790095117266,1.1713876596017572e-53,1.0
RandomForest,ELM+poly2,17.0564531367487,1.0557101628130105e-53,1.0
RandomForest,Linear-Ridge,16.95514358280812,3.2596513137405947e-53,1.0
Linear-Ridge,NG-RC(best),15.034036262899752,1.4465027700933644e-43,1.0
Linear-Ridge,NG-RC(d1),11.33696837615341,4.033075667406707e-27,1.0
Linear-Ridge,NG-RC(d2),14.959567788036253,3.2683259681413262e-43,1.0
Linear-Ridge,NG-RC(d3),15.034036262899752,1.4465027700933644e-43,1.0
Linear-Ridge,ESN,-12.097761257140505,1.2079501323154967e-29,1.0
Linear-Ridge,ESN+poly2,-7.048397107076714,9.86346746627647e-12,1.0
Linear-Ridge,ELM,12.985543718831417,2.703610673753784e-34,1.0
Linear-Ridge,ELM+poly2,13.928196522660096,3.9320696959097493e-38,1.0
Linear-Ridge,RandomForest,-16.95514358280812,3.2596513137405947e-53,1.0
