system,ic_index,ic,model,seed,vpt_steps,vpt_lyap,diverged,wasserstein
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",esn300,1,9,3.727085552938101,False,0.012003079703528562
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",esn300,2,9,3.727085552938101,False,0.011923476685599503
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",elm300,0,15,6.211809254896835,False,0.008267957393202352
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",elm300,1,16,6.625929871889958,False,0.01379546548733027
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",elm300,2,17,7.04005048888308,False,0.0109523689834027
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",qrc_rich,0,12,4.969447403917468,False,0.009875320293717418
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",qrc_rich,1,12,4.969447403917468,False,0.006920968767585101
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",qrc_rich,2,12,4.969447403917468,False,0.00967513112151496
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",ngrc,0,27,10.969425717413602,False,0.00839145989710685
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",esn300,0,5,2.0313751328543703,False,0.00971012916079637
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",esn300,1,5,2.0313751328543703,True,20.290213819070654
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",esn300,2,5,2.0313751328543703,False,0.017002141198416518
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",elm300,0,16,6.500400425133986,False,0.007489155669548353
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",elm300,1,19,7.719225504846608,False,0.006725727691673001
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",elm300,2,15,6.094125398563111,False,0.00951524307972984
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",qrc_rich,0,13,5.281575345421364,False,0.009452129184885761
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",qrc_rich,1,12,4.875300318850489,False,0.012747537140570966
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",qrc_rich,2,13,5.281575345421364,False,0.007340114821068511
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",ngrc,0,28,11.648445890042735,False,0.015221613355693
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",esn300,0,9,3.7441433217994504,False,0.012217479740557383
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",esn300,1,7,2.912111472510684,False,0.01023147879390136
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",esn300,2,8,3.328127397155067,False,0.011465260744748731
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",elm300,0,13,5.408207020376984,False,0.006225403414435017
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",elm300,1,17,7.072270718954518,False,0.007875322333669409
