system,ic_index,ic,model,seed,nrmse,n_features
henon,6,"{'x0': -0.2451304123458754, 'y0': -0.03295421647041206}",elm300,2,0.00026632860029369374,300
henon,6,"{'x0': -0.2451304123458754, 'y0': -0.03295421647041206}",qrc_rich,0,0.0042349037710951625,96
henon,6,"{'x0': -0.2451304123458754, 'y0': -0.03295421647041206}",qrc_rich,1,0.004447222951894946,96
henon,6,"{'x0': -0.2451304123458754, 'y0': -0.03295421647041206}",qrc_rich,2,0.004322362476182617,96
henon,7,"{'x0': 0.0045482589579532995, 'y0': 0.03209841124469548}",ngrc,0,1.5765633269087237e-06,21
henon,7,"{'x0': 0.0045482589579532995, 'y0': 0.03209841124469548}",esn300,0,0.010353191911872865,300
henon,7,"{'x0': 0.0045482589579532995, 'y0': 0.03209841124469548}",esn300,1,0.010254662599485452,300
henon,7,"{'x0': 0.0045482589579532995, 'y0': 0.03209841124469548}",esn300,2,0.010903419483804248,300
henon,7,"{'x0': 0.0045482589579532995, 'y0': 0.03209841124469548}",elm300,0,0.0002511954513332086,300
henon,7,"{'x0': 0.0045482589579532995, 'y0': 0.03209841124469548}",elm300,1,0.00027344788958702336,300
henon,7,"{'x0': 0.0045482589579532995, 'y0': 0.03209841124469548}",elm300,2,0.0002777452796736852,300
henon,7,"{'x0': 0.0045482589579532995, 'y0': 0.03209841124469548}",qrc_rich,0,0.004422960676995758,96
henon,7,"{'x0': 0.0045482589579532995, 'y0': 0.03209841124469548}",qrc_rich,1,0.004695486206591927,96
henon,7,"{'x0': 0.0045482589579532995, 'y0': 0.03209841124469548}",qrc_rich,2,0.004488123567951249,96
henon,8,"{'x0': 0.4955002834343927, 'y0': 0.17559715152825184}",ngrc,0,1.5759792083121397e-06,21
henon,8,"{'x0': 0.4955002834343927, 'y0': 0.17559715152825184}",esn300,0,0.010546919288929802,300
henon,8,"{'x0': 0.4955002834343927, 'y0': 0.17559715152825184}",esn300,1,0.01155382292535091,300
henon,8,"{'x0': 0.4955002834343927, 'y0': 0.17559715152825184}",esn300,2,0.010833890988991816,300
henon,8,"{'x0': 0.4955002834343927, 'y0': 0.17559715152825184}",elm300,0,0.0002460479755552586,300
henon,8,"{'x0': 0.4955002834343927, 'y0': 0.17559715152825184}",elm300,1,0.00022635200537021537,300
henon,8,"{'x0': 0.4955002834343927, 'y0': 0.17559715152825184}",elm300,2,0.00025832415032740877,300
henon,8,"{'x0': 0.4955002834343927, 'y0': 0.17559715152825184}",qrc_rich,0,0.004631654571636913,96
henon,8,"{'x0': 0.4955002834343927, 'y0': 0.17559715152825184}",qrc_rich,1,0.005008933675881266,96
henon,8,"{'x0': 0.4955002834343927, 'y0': 0.17559715152825184}",qrc_rich,2,0.004759353723125174,96
henon,9,"{'x0': 0.12217922944116266, 'y0': 0.29337608860913095}",ngrc,0,1.6035556991607318e-06,21
henon,9,"{'x0': 0.12217922944116266, 'y0': 0.29337608860913095}",esn300,0,0.010027449481696211,300
henon,9,"{'x0': 0.12217922944116266, 'y0': 0.29337608860913095}",esn300,1,0.00938697872703054,300
henon,9,"{'x0': 0.12217922944116266, 'y0': 0.29337608860913095}",esn300,2,0.01044325752255867,300
henon,9,"{'x0': 0.12217922944116266, 'y0': 0.29337608860913095}",elm300,0,0.000252952725293758,300
henon,9,"{'x0': 0.12217922944116266, 'y0': 0.29337608860913095}",elm300,1,0.00024160929499668555,300
henon,9,"{'x0': 0.12217922944116266, 'y0': 0.29337608860913095}",elm300,2,0.0002786373651711779,300
henon,9,"{'x0': 0.12217922944116266, 'y0': 0.29337608860913095}",qrc_rich,0,0.004640966529447197,96
henon,9,"{'x0': 0.12217922944116266, 'y0': 0.29337608860913095}",qrc_rich,1,0.00482415997323312,96
henon,9,"{'x0': 0.12217922944116266, 'y0': 0.29337608860913095}",qrc_rich,2,0.004746802988700901,96
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",ngrc,0,1.7434266654068904e-06,21
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",esn300,0,0.011215272612212245,300
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",esn300,1,0.010052344747345319,300
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",esn300,2,0.010785208699497353,300
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",elm300,0,0.00023948618163624187,300
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",elm300,1,0.00025059334443668964,300
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",elm300,2,0.000276758729025737,300
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",qrc_rich,0,0.00446357751325596,96
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",qrc_rich,1,0.004638705975750836,96
henon,10,"{'x0': -0.28469130176440105, 'y0': -0.20387277968529327}",qrc_rich,2,0.0045129781436238445,96
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",ngrc,0,1.889526640556398e-06,21
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",esn300,0,0.009501081127672329,300
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",esn300,1,0.009248832108368165,300
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",esn300,2,0.00963959379443194,300
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",elm300,0,0.00025585903895784036,300
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",elm300,1,0.00034118749956096384,300
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",elm300,2,0.0003256425790718328,300
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",qrc_rich,0,0.0045720026521096635,96
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",qrc_rich,1,0.004867891487996932,96
henon,11,"{'x0': 0.11253960427303078, 'y0': -0.27363479522316997}",qrc_rich,2,0.004696868454964083,96
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",ngrc,0,1.5978479014341973e-06,21
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",esn300,0,0.009240883941815933,300
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",esn300,1,0.009261093670513977,300
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",esn300,2,0.009392702536527985,300
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",elm300,0,0.00025254978532818754,300
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",elm300,1,0.0002585542440393057,300
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",elm300,2,0.00025913735179859643,300
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",qrc_rich,0,0.0045516050663237375,96
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",qrc_rich,1,0.004788676796952951,96
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",qrc_rich,2,0.004646523425950478,96
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",ngrc,0,2.0708678418709075e-06,21
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",esn300,0,0.0097481110083407,300
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",esn300,1,0.009015986396567324,300
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",esn300,2,0.009690445236765917,300
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",elm300,0,0.00026292290280548625,300
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",elm300,1,0.0002869792415920898,300
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",elm300,2,0.00031626578993954274,300
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",qrc_rich,0,0.004686169297164588,96
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",qrc_rich,1,0.0047928003977904575,96
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",qrc_rich,2,0.004727091676768227,96
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",ngrc,0,1.358127917834005e-06,21
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",esn300,0,0.008847659110803499,300
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",esn300,1,0.008554526275152283,300
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",esn300,2,0.008952502400487342,300
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",elm300,0,0.0002951577807108426,300
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",elm300,1,0.0003068145988197037,300
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",elm300,2,0.0003818759104586276,300
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",qrc_rich,0,0.004025123736043906,96
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",qrc_rich,1,0.0043664277668358795,96
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",qrc_rich,2,0.004191147182469084,96
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",ngrc,0,1.66178758629775e-06,21
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",esn300,0,0.00835351896030068,300
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",esn300,1,0.008617302651246253,300
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",esn300,2,0.008953777182860714,300
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",elm300,0,0.0002870536123512277,300
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",elm300,1,0.00027037492995987504,300
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",elm300,2,0.00028854603654389105,300
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",qrc_rich,0,0.0043269330745301995,96
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",qrc_rich,1,0.004598896395511158,96
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",qrc_rich,2,0.004465632869298244,96
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",ngrc,0,1.7362090303822053e-06,21
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",esn300,0,0.008647264618609778,300
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",esn300,1,0.008576262321484819,300
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",esn300,2,0.00905707771856176,300
