system,seed,model,eps,beta,val_nrmse,test_nrmse,n_features
lorenz,2,rfqrc,0.2,1e-09,0.5937570762732851,0.5834607597406725,256
lorenz,2,rfqrc,0.2,1e-12,0.5953599730294383,0.5847036059281685,256
lorenz,2,rfqrc,0.3,1e-06,0.5277785508513478,0.5213120399765566,256
lorenz,2,rfqrc,0.3,1e-09,0.5242918908778939,0.517702706152858,256
lorenz,2,rfqrc,0.3,1e-12,0.5296637971097524,0.5231061091791196,256
lorenz,2,elmF,,1e-06,0.0006600891940804194,0.0006612905033366643,256
lorenz,2,ngrc,,1e-06,0.0014207739354182684,0.0014638867063359326,56
lorenz,3,rfqrc,0.05,1e-06,0.742732031469248,0.7225940923153819,256
lorenz,3,rfqrc,0.05,1e-09,0.7529606638277057,0.7200467789865189,256
lorenz,3,rfqrc,0.05,1e-12,0.7665767418367045,0.7366357826027085,256
lorenz,3,rfqrc,0.1,1e-06,0.6756461219002904,0.6642497135496578,256
lorenz,3,rfqrc,0.1,1e-09,0.6780704860894828,0.6612871292273614,256
lorenz,3,rfqrc,0.1,1e-12,0.6807005026618337,0.6617800295821034,256
lorenz,3,rfqrc,0.2,1e-06,0.596498952833404,0.5876836239408997,256
lorenz,3,rfqrc,0.2,1e-09,0.5931043841899011,0.5829027505447011,256
lorenz,3,rfqrc,0.2,1e-12,0.5950213860985074,0.5843232611796615,256
lorenz,3,rfqrc,0.3,1e-06,0.5289472128340671,0.5228428527478418,256
lorenz,3,rfqrc,0.3,1e-09,0.5240457946380999,0.5175275338832029,256
lorenz,3,rfqrc,0.3,1e-12,0.5288872147620496,0.5222923400572703,256
lorenz,3,elmF,,1e-06,0.0006232259757754626,0.0006383958732550858,256
lorenz,3,ngrc,,1e-06,0.0014207739354182684,0.0014638867063359326,56
lorenz,4,rfqrc,0.05,1e-06,0.7414283841361259,0.7220981472055468,256
lorenz,4,rfqrc,0.05,1e-09,0.7533488767513128,0.7205130141429849,256
lorenz,4,rfqrc,0.05,1e-12,0.7660942497232754,0.7361182213364506,256
lorenz,4,rfqrc,0.1,1e-06,0.6748569276968368,0.6639364598680609,256
lorenz,4,rfqrc,0.1,1e-09,0.6783531285335692,0.6614497750381405,256
lorenz,4,rfqrc,0.1,1e-12,0.6795410204513986,0.6607273440553573,256
lorenz,4,rfqrc,0.2,1e-06,0.5963335716107959,0.587581482356832,256
lorenz,4,rfqrc,0.2,1e-09,0.5933516052045497,0.5829816337091364,256
lorenz,4,rfqrc,0.2,1e-12,0.5962418591505202,0.5857742506150717,256
lorenz,4,rfqrc,0.3,1e-06,0.5290945652311054,0.5229792809252278,256
lorenz,4,rfqrc,0.3,1e-09,0.5245032722725788,0.5177533623941611,256
lorenz,4,rfqrc,0.3,1e-12,0.529719007754359,0.5232862497993537,256
lorenz,4,elmF,,1e-06,0.0004963948582942523,0.0004969701280598147,256
lorenz,4,ngrc,,1e-06,0.0014207739354182684,0.0014638867063359326,56
mackeyglass,0,rfqrc,0.05,1e-06,0.9026715370546243,0.8979723420829127,256
mackeyglass,0,rfqrc,0.05,1e-09,0.902744683804465,0.8984220884461989,256
mackeyglass,0,rfqrc,0.05,1e-12,0.9025762530409464,0.9022807858770393,256
mackeyglass,0,rfqrc,0.1,1e-06,0.782338243645959,0.7828614971883752,256
mackeyglass,0,rfqrc,0.1,1e-09,0.7823017163968791,0.7840949834046409,256
mackeyglass,0,rfqrc,0.1,1e-12,0.7828495016842687,0.7862629708121534,256
mackeyglass,0,rfqrc,0.2,1e-06,0.5575613064177359,0.5663648120015093,256
mackeyglass,0,rfqrc,0.2,1e-09,0.557871596843375,0.566790723018676,256
mackeyglass,0,rfqrc,0.2,1e-12,0.5583386307181842,0.5669226172097632,256
mackeyglass,0,rfqrc,0.3,1e-06,0.4186382221390331,0.42926403781552586,256
mackeyglass,0,rfqrc,0.3,1e-09,0.41882727797008035,0.4293748261954127,256
mackeyglass,0,rfqrc,0.3,1e-12,0.41900272940884037,0.4292834643932963,256
mackeyglass,0,elmF,,1e-06,0.0016621678190910634,0.0018234465928830886,256
mackeyglass,0,ngrc,,1e-06,0.0021978006147868622,0.0023964626078002327,21
mackeyglass,1,rfqrc,0.05,1e-06,0.9028151600422358,0.897912438269839,256
mackeyglass,1,rfqrc,0.05,1e-09,0.9027234625035271,0.8992816411218865,256
mackeyglass,1,rfqrc,0.05,1e-12,0.9024304645240716,0.9025191451461873,256
mackeyglass,1,rfqrc,0.1,1e-06,0.7823182255861246,0.7828946487645065,256
mackeyglass,1,rfqrc,0.1,1e-09,0.7824754044366686,0.7846418020308289,256
mackeyglass,1,rfqrc,0.1,1e-12,0.7827787967209127,0.786338102902209,256
mackeyglass,1,rfqrc,0.2,1e-06,0.5575175908414857,0.5663891028683986,256
