phase,system,model,seed,tau,gamma,beta,val_nrmse,test_nrmse,n_features
grid4,lorenz,dqrc4,1,10.0,0.0,1e-06,0.019511593395538693,0.030829442040652716,48
grid4,lorenz,dqrc4,1,10.0,0.02,1e-09,0.012261134061243217,0.016170437191220178,48
grid4,lorenz,dqrc4,1,10.0,0.05,1e-12,0.008337580299182384,0.010625076997729977,48
grid4,lorenz,dqrc4,1,10.0,0.1,1e-09,0.0082218664814901,0.009671931988245354,48
grid4,lorenz,dqrc4,1,10.0,0.2,1e-12,0.005791740579008211,0.009008441556191581,48
ctrl4,lorenz,elmF,1,,,1e-06,0.003378380909983165,0.004494070033797249,48
ctrl4,lorenz,esnF,1,,,1e-06,0.11701095552109772,0.14102563911252783,48
ctrl4,lorenz,ngrc,1,,,1e-06,0.0015374000700548393,0.0018550941268273865,56
grid4,lorenz,dqrc4,2,1.0,0.0,1e-12,0.13112261674345826,0.14491290745385255,48
grid4,lorenz,dqrc4,2,1.0,0.02,1e-12,0.059732554865447575,0.08192988402596733,48
grid4,lorenz,dqrc4,2,1.0,0.05,1e-12,0.03422267738524768,0.042835743298167465,48
grid4,lorenz,dqrc4,2,1.0,0.1,1e-12,0.0272429583600473,0.032741793612427066,48
grid4,lorenz,dqrc4,2,1.0,0.2,1e-12,0.019522702514444552,0.023165925007924994,48
grid4,lorenz,dqrc4,2,4.0,0.0,1e-09,0.042402537647093466,0.051478822648102655,48
grid4,lorenz,dqrc4,2,4.0,0.02,1e-12,0.02049470630741181,0.029143967887660497,48
grid4,lorenz,dqrc4,2,4.0,0.05,1e-09,0.016142553999155075,0.02197123303475957,48
grid4,lorenz,dqrc4,2,4.0,0.1,1e-12,0.012006995939506637,0.014909763681173993,48
grid4,lorenz,dqrc4,2,4.0,0.2,1e-12,0.009110760125897892,0.011860271192053897,48
grid4,lorenz,dqrc4,2,10.0,0.0,1e-06,0.024566037981671392,0.029980688868954553,48
grid4,lorenz,dqrc4,2,10.0,0.02,1e-09,0.012803815359231705,0.016060728704360577,48
grid4,lorenz,dqrc4,2,10.0,0.05,1e-09,0.009123009603159406,0.011654266500059832,48
grid4,lorenz,dqrc4,2,10.0,0.1,1e-12,0.007724361517722765,0.010716548466503193,48
grid4,lorenz,dqrc4,2,10.0,0.2,1e-12,0.006232531174679495,0.0075447895720441825,48
ctrl4,lorenz,elmF,2,,,1e-06,0.003040923183230003,0.004341036010420224,48
ctrl4,lorenz,esnF,2,,,1e-06,0.07642257667948162,0.09317472142009289,48
ctrl4,lorenz,ngrc,2,,,1e-06,0.0015374000700548393,0.0018550941268273865,56
grid4,lorenz,dqrc4,3,1.0,0.0,1e-12,0.03867605844303535,0.04929274570678001,48
grid4,lorenz,dqrc4,3,1.0,0.02,1e-12,0.020320061528567083,0.03564307996918356,48
grid4,lorenz,dqrc4,3,1.0,0.05,1e-12,0.012659816437301843,0.018261615926072516,48
grid4,lorenz,dqrc4,3,1.0,0.1,1e-12,0.008042635589598163,0.012026902724049916,48
