family,sr,leak,inp,gamma,tau,seed,val_cap,test_cap,test_cap_d15
dqrc4,,,,0.5,1.0,1,1.9469802266105862,1.885541990934901,1.847398467877881
dqrc4,,,,0.5,1.0,2,2.1643637958970303,2.108697388427319,2.0749506789709438
dqrc4,,,,0.5,4.0,0,2.603804063253153,2.6043664817313807,2.5688442615889766
dqrc4,,,,0.5,4.0,1,2.524005545214052,2.4659144697222177,2.427383117606595
dqrc4,,,,0.5,4.0,2,2.4750790905449547,2.5027602046781223,2.4665555271605615
dqrc4,,,,0.5,10.0,0,2.31466434824396,2.321304288128077,2.281312820672532
dqrc4,,,,0.5,10.0,1,2.7210907376444506,2.672136079596954,2.6477273601416593
dqrc4,,,,0.5,10.0,2,2.79443852053073,2.7847921201888255,2.736551227550226
esn48,0.7,0.3,0.05,,,0,6.107846549206939,7.110948801827306,5.071375083503192
esn48,0.7,0.3,0.2,,,0,6.162780640627706,7.065600296498889,5.117039143041941
esn48,0.7,0.3,0.5,,,0,5.318610848777207,6.186292209139231,4.665352613971834
esn48,0.7,0.6,0.05,,,0,9.85297627851948,10.931576629958782,8.630368756665156
esn48,0.7,0.6,0.2,,,0,8.904369882351963,9.904108613953918,8.19221216760224
esn48,0.7,0.6,0.5,,,0,7.317256522177647,8.071661974917705,7.223560523848007
esn48,0.7,1.0,0.05,,,0,17.282006299991426,17.345313744329967,14.89780721794075
esn48,0.7,1.0,0.2,,,0,13.75317420697727,13.80715350988946,13.495232144257702
esn48,0.7,1.0,0.5,,,0,10.873286895601456,10.872800828096533,10.853854177024076
esn48,0.8,0.3,0.05,,,0,6.558610541232185,7.668750501251893,5.36304220502078
esn48,0.8,0.3,0.2,,,0,6.316212513857128,7.233079556839286,5.274285609065147
esn48,0.8,0.3,0.5,,,0,5.430877781475016,6.248933236041882,4.68508428299398
esn48,0.8,0.6,0.05,,,0,11.058955521950793,12.22454648847381,9.203214541024492
esn48,0.8,0.6,0.2,,,0,9.338650332935785,10.26932555116607,8.453977078972247
esn48,0.8,0.6,0.5,,,0,7.716845677377448,8.466102971132072,7.532002492133582
esn48,0.8,1.0,0.05,,,0,19.57343190465928,19.765050393402838,14.956333842111246
esn48,0.8,1.0,0.2,,,0,14.943803988317386,15.101159918424822,13.773238431736619
esn48,0.8,1.0,0.5,,,0,11.767944208316719,11.811545172045385,11.696655617900186
esn48,0.9,0.3,0.05,,,0,6.902768346705169,8.022499867839485,5.569527852923771
esn48,0.9,0.3,0.2,,,0,6.32161646777643,7.284251904241358,5.284131901691817
esn48,0.9,0.3,0.5,,,0,5.561758159334582,6.400538466072687,4.776230926317447
esn48,0.9,0.6,0.05,,,0,11.877003031017493,12.959174437423286,9.567134166538693
esn48,0.9,0.6,0.2,,,0,9.806231215045843,10.676259730548525,8.617362897050036
esn48,0.9,0.6,0.5,,,0,7.958119031954848,8.769063627544089,7.813110862220766
esn48,0.9,1.0,0.05,,,0,20.486920523582103,20.774336434168415,14.905476653574292
esn48,0.9,1.0,0.2,,,0,15.51229246206535,15.719410387487057,13.611377333747797
esn48,0.9,1.0,0.5,,,0,12.23977699357109,12.245346676150575,11.794609968805242
esn48,0.95,0.3,0.05,,,0,6.860530625518884,7.978256630375445,5.5589026479201875
esn48,0.95,0.3,0.2,,,0,6.374228743787211,7.276056474581098,5.263497008738893
esn48,0.95,0.3,0.5,,,0,5.621477023648157,6.474951851189416,4.801918487405375
esn48,0.95,0.6,0.05,,,0,11.86255021553792,12.855403092144593,9.51969235875797
esn48,0.95,0.6,0.2,,,0,9.918257460919904,10.81762050451639,8.605000347154368
esn48,0.95,0.6,0.5,,,0,7.986940576970131,8.82561903962771,7.878918990922425
esn48,0.95,1.0,0.05,,,0,19.937812609086922,20.284814086806914,14.78137278530813
esn48,0.95,1.0,0.2,,,0,15.468585032140957,15.72775461184592,13.46698302450159
esn48,0.95,1.0,0.5,,,0,12.325518461879092,12.278254128249952,11.645784563514422
esn48,0.99,0.3,0.05,,,0,6.8004884536680414,7.892963618212416,5.524050344659796
