system,n_qubits_eq,model,seed,nrmse,n_features,n_points,n_qubits,V,window,shots,readout,ngrc_degree
mackeyglass,4,elmF,8,0.002084077859913328,64,1500,,,5,,,
mackeyglass,4,elmF,9,0.0021665433547362434,64,1500,,,5,,,
mackeyglass,4,elmF,10,0.0020370641604676868,64,1500,,,5,,,
mackeyglass,4,elmF,11,0.0020025978104371584,64,1500,,,5,,,
mackeyglass,4,elmF,12,0.002009090426055253,64,1500,,,5,,,
mackeyglass,4,elmF,13,0.002055808471956807,64,1500,,,5,,,
mackeyglass,4,elmF,14,0.0021127843528068726,64,1500,,,5,,,
mackeyglass,4,elmF,15,0.0019867698441281153,64,1500,,,5,,,
mackeyglass,4,elmF,16,0.0019997515799280124,64,1500,,,5,,,
mackeyglass,4,elmF,17,0.0020587878669530214,64,1500,,,5,,,
mackeyglass,4,elmF,18,0.0020641683437926466,64,1500,,,5,,,
mackeyglass,4,elmF,19,0.0020679518186952385,64,1500,,,5,,,
mackeyglass,4,esnF,0,0.012861602677454939,64,1500,,,5,,,
mackeyglass,4,esnF,1,0.013650378093043366,64,1500,,,5,,,
mackeyglass,4,esnF,2,0.010061576364084356,64,1500,,,5,,,
mackeyglass,4,esnF,3,0.012497579701303232,64,1500,,,5,,,
mackeyglass,4,esnF,4,0.01092012872465075,64,1500,,,5,,,
mackeyglass,4,esnF,5,0.009975113078394724,64,1500,,,5,,,
mackeyglass,4,esnF,6,0.010745296840106737,64,1500,,,5,,,
mackeyglass,4,esnF,7,0.0146483685431399,64,1500,,,5,,,
mackeyglass,4,esnF,8,0.011629503941378802,64,1500,,,5,,,
mackeyglass,4,esnF,9,0.01677103791120537,64,1500,,,5,,,
mackeyglass,4,esnF,10,0.010245965817846992,64,1500,,,5,,,
mackeyglass,4,esnF,11,0.011877555993014313,64,1500,,,5,,,
mackeyglass,4,esnF,12,0.012697727356556793,64,1500,,,5,,,
mackeyglass,4,esnF,13,0.009798219263402665,64,1500,,,5,,,
mackeyglass,4,esnF,14,0.013568677523239937,64,1500,,,5,,,
mackeyglass,4,esnF,15,0.011245144510329295,64,1500,,,5,,,
mackeyglass,4,esnF,16,0.010818515627974567,64,1500,,,5,,,
mackeyglass,4,esnF,17,0.011183029465270137,64,1500,,,5,,,
mackeyglass,4,esnF,18,0.011236923817079922,64,1500,,,5,,,
mackeyglass,4,esnF,19,0.011317297821529775,64,1500,,,5,,,
mackeyglass,4,qrc,0,0.004687752909468628,64,1500,4,4,5,exact,Z+X+Y+ZZ,
mackeyglass,4,qrc,1,0.0049675072290725495,64,1500,4,4,5,exact,Z+X+Y+ZZ,
mackeyglass,4,qrc,2,0.004508614445434251,64,1500,4,4,5,exact,Z+X+Y+ZZ,
mackeyglass,4,qrc,3,0.004828851810051393,64,1500,4,4,5,exact,Z+X+Y+ZZ,
mackeyglass,4,qrc,4,0.004691063629128739,64,1500,4,4,5,exact,Z+X+Y+ZZ,
mackeyglass,4,qrc,5,0.004583424552396693,64,1500,4,4,5,exact,Z+X+Y+ZZ,
mackeyglass,4,qrc,6,0.004290082256969889,64,1500,4,4,5,exact,Z+X+Y+ZZ,
mackeyglass,4,qrc,7,0.0044568773545321655,64,1500,4,4,5,exact,Z+X+Y+ZZ,
mackeyglass,4,qrc,8,0.004519008869141055,64,1500,4,4,5,exact,Z+X+Y+ZZ,
mackeyglass,4,qrc,9,0.004600580243872892,64,1500,4,4,5,exact,Z+X+Y+ZZ,
henon,6,ngrc,0,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,1,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,2,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,3,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,4,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,5,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,6,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,7,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,8,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,9,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,10,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,11,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,12,1.5867011999559015e-06,21,1500,,,5,,,2
