system,n,comparison,seed,dm_stat,p
lorenz,6,qrc_vs_esnF,8,-11.65094086426102,4.207004005816212e-26
lorenz,6,qrc_vs_elmF,8,11.106307780705954,3.2673434941226166e-24
lorenz,6,qrc_vs_ngrc,8,11.081477264774525,3.9768028685447185e-24
lorenz,6,qrc_vs_esnF,9,-14.029970699316603,1.1102905663139657e-34
lorenz,6,qrc_vs_elmF,9,8.155276476441404,9.803850821870712e-15
lorenz,6,qrc_vs_ngrc,9,8.165323321838155,9.15950472601931e-15
lorenz,8,qrc_vs_esnF,0,-7.770742876667814,2.3310439557402125e-13
lorenz,8,qrc_vs_elmF,0,7.231707300268628,6.483146030182631e-12
lorenz,8,qrc_vs_ngrc,0,7.200163329825228,7.841261302408739e-12
lorenz,8,qrc_vs_esnF,1,-6.068852928107031,5.040381949891289e-09
lorenz,8,qrc_vs_elmF,1,8.069846802886904,3.474289196212892e-14
lorenz,8,qrc_vs_ngrc,1,8.051938181828246,3.898030418586472e-14
lorenz,8,qrc_vs_esnF,2,-8.654257628579893,7.553015902067438e-16
lorenz,8,qrc_vs_elmF,2,6.799438099907124,8.39851508440174e-11
lorenz,8,qrc_vs_ngrc,2,6.7448082476251265,1.1526970206844922e-10
lorenz,8,qrc_vs_esnF,3,-8.837413587650095,2.213064851351376e-16
lorenz,8,qrc_vs_elmF,3,7.194592724678131,8.108680473292143e-12
lorenz,8,qrc_vs_ngrc,3,7.145052868392093,1.0918657884662487e-11
lorenz,8,qrc_vs_esnF,4,-8.90327154951051,1.4189812083899335e-16
lorenz,8,qrc_vs_elmF,4,6.915806994559017,4.2554191629075373e-11
lorenz,8,qrc_vs_ngrc,4,6.853580827564131,6.126623435317202e-11
lorenz,8,qrc_vs_esnF,5,-7.585451664324346,7.427030501931799e-13
lorenz,8,qrc_vs_elmF,5,6.718469012011146,1.342029480273784e-10
lorenz,8,qrc_vs_ngrc,5,6.6864862557515305,1.6133823275029792e-10
lorenz,8,qrc_vs_esnF,6,-8.07202562208936,3.4259516054139583e-14
lorenz,8,qrc_vs_elmF,6,7.521740802086836,1.1021443214251557e-12
lorenz,8,qrc_vs_ngrc,6,7.49945841854962,1.2647172528506848e-12
lorenz,8,qrc_vs_esnF,7,-9.230902778629067,1.519897689119865e-17
lorenz,8,qrc_vs_elmF,7,7.535439460886136,1.0126310541180368e-12
lorenz,8,qrc_vs_ngrc,7,7.499928345250653,1.261055800846487e-12
lorenz,8,qrc_vs_esnF,8,-6.810353000649515,7.882123457557629e-11
lorenz,8,qrc_vs_elmF,8,7.450473832627809,1.7099781122552245e-12
lorenz,8,qrc_vs_ngrc,8,7.423228892303171,2.021303887433819e-12
lorenz,8,qrc_vs_esnF,9,-8.963594711695928,9.431528446732585e-17
lorenz,8,qrc_vs_elmF,9,6.990591113767228,2.7386463929496084e-11
lorenz,8,qrc_vs_ngrc,9,6.93290439933113,3.8485392890507806e-11
lorenz,10,qrc_vs_esnF,0,-5.01297410192286,1.9062819470182086e-06
lorenz,10,qrc_vs_elmF,0,4.807397616265463,4.5501478920221155e-06
lorenz,10,qrc_vs_ngrc,0,4.752054542477672,5.729587724150996e-06
lorenz,10,qrc_vs_esnF,1,-8.586260936849555,4.267181730185363e-14
lorenz,10,qrc_vs_elmF,1,4.676802179386121,7.81807065640497e-06
lorenz,10,qrc_vs_ngrc,1,4.61549662705497,1.004806811800866e-05
lorenz,10,qrc_vs_esnF,2,-7.176350993616242,6.852490790954491e-11
lorenz,10,qrc_vs_elmF,2,4.478313245068107,1.7486762132700104e-05
lorenz,10,qrc_vs_ngrc,2,4.442403376872551,2.0181061386153717e-05
lorenz,10,qrc_vs_esnF,3,-5.3402688508091085,4.570577303316923e-07
lorenz,10,qrc_vs_elmF,3,4.752216311590548,5.725742413831553e-06
lorenz,10,qrc_vs_ngrc,3,4.711314857595741,6.782019301236975e-06
lorenz,10,qrc_vs_esnF,4,-9.858563221747158,4.34282189099259e-17
lorenz,10,qrc_vs_elmF,4,4.679609338427566,7.728374711982632e-06
lorenz,10,qrc_vs_ngrc,4,4.613198120243869,1.0142648668480892e-05
mackeyglass,4,qrc_vs_esnF,0,-12.104802018286875,1.056997538911484e-27
mackeyglass,4,qrc_vs_elmF,0,10.625325153431463,1.422910384468944e-22
mackeyglass,4,qrc_vs_ngrc,0,9.832838043473854,6.060237161917663e-20
mackeyglass,4,qrc_vs_esnF,1,-12.00562111418162,2.3739403354106548e-27
mackeyglass,4,qrc_vs_elmF,1,12.310966575486425,1.9527380542524269e-28
mackeyglass,4,qrc_vs_ngrc,1,11.375099445482661,3.851326245577506e-25
mackeyglass,4,qrc_vs_esnF,2,-10.246533227614298,2.6403856231351563e-21
mackeyglass,4,qrc_vs_elmF,2,9.890360690698822,3.934465378895333e-20
mackeyglass,4,qrc_vs_ngrc,2,8.878301132816405,6.492837675689391e-17
mackeyglass,4,qrc_vs_esnF,3,-12.575527501638934,2.207248947707687e-29
mackeyglass,4,qrc_vs_elmF,3,11.764797624473019,1.6773081654956262e-26
mackeyglass,4,qrc_vs_ngrc,3,10.920458225732053,1.4159790150509517e-23
mackeyglass,4,qrc_vs_esnF,4,-10.275835514875874,2.110006825837172e-21
mackeyglass,4,qrc_vs_elmF,4,9.93929555808381,2.721894897481731e-20
mackeyglass,4,qrc_vs_ngrc,4,8.920725425087989,4.800723955316351e-17
mackeyglass,4,qrc_vs_esnF,5,-10.693998218306504,8.337615448029665e-23
mackeyglass,4,qrc_vs_elmF,5,11.518898270591608,1.217200272703728e-25
mackeyglass,4,qrc_vs_ngrc,5,10.22127275314134,3.202693272187927e-21
mackeyglass,4,qrc_vs_esnF,6,-11.875567160826412,6.835556256384782e-27
mackeyglass,4,qrc_vs_elmF,6,9.654740944959679,2.290331255151861e-19
mackeyglass,4,qrc_vs_ngrc,6,8.739555127721987,1.7331192525605274e-16
mackeyglass,4,qrc_vs_esnF,7,-13.730177258986462,1.407984428098919e-33
mackeyglass,4,qrc_vs_elmF,7,11.104306298163987,3.319528934378635e-24
mackeyglass,4,qrc_vs_ngrc,7,9.854922174264617,5.1348511079787574e-20
mackeyglass,4,qrc_vs_esnF,8,-11.9505840696885,3.715762478540512e-27
mackeyglass,4,qrc_vs_elmF,8,11.278093192553193,8.350804008392036e-25
mackeyglass,4,qrc_vs_ngrc,8,10.177964964530942,4.457026211183033e-21
mackeyglass,4,qrc_vs_esnF,9,-14.512830839096464,1.8163632258473963e-36
mackeyglass,4,qrc_vs_elmF,9,10.53288419559031,2.914930943470553e-22
mackeyglass,4,qrc_vs_ngrc,9,9.65666136355246,2.2578767717459925e-19
mackeyglass,6,qrc_vs_esnF,0,-10.86530147933283,2.1838218318880144e-23
mackeyglass,6,qrc_vs_elmF,0,10.617105897319009,1.5167631795237715e-22
mackeyglass,6,qrc_vs_ngrc,0,9.464039585846766,9.381047729095684e-19
mackeyglass,6,qrc_vs_esnF,1,-9.855729700383511,5.103816026889872e-20
mackeyglass,6,qrc_vs_elmF,1,9.559656224321175,4.634464323922735e-19
mackeyglass,6,qrc_vs_ngrc,1,8.720996301636417,1.9750376612227505e-16
mackeyglass,6,qrc_vs_esnF,2,-9.965991718130795,2.2254382091945918e-20
mackeyglass,6,qrc_vs_elmF,2,11.620472397004784,5.377827911488909e-26
mackeyglass,6,qrc_vs_ngrc,2,10.437630353843232,6.085543290987296e-22
mackeyglass,6,qrc_vs_esnF,3,-11.234194125692715,1.1843208764605048e-24
mackeyglass,6,qrc_vs_elmF,3,11.754247456305842,1.8267374925736706e-26
mackeyglass,6,qrc_vs_ngrc,3,10.716251982563687,7.009381062879748e-23
