model_key,model_name,group,kind,deterministic,system,seed,cfg_system,cfg_n_points,cfg_seed,cfg_scaler,cfg_scaler_scope,cfg_split_fracs,cfg_washout,cfg_horizon,cfg_lookback,cfg_stride,cfg_windowing,cfg_alpha,cfg_encode_scale,status,n_features,n_params,feature_rank,n_train,n_test,nrmse,rmse,mae,mse,r2,smape,max_error
arima,ARIMA,statistical,ARIMA,True,mackeyglass,4,mackeyglass,1500,4,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.015043363816074651,0.0034963083291476072,0.0028583743946683717,1.2224171932466933e-05,0.9997736972050972,0.7873197849809043,0.007897352086353338
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,henon,0,henon,1500,0,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.19528932175030536,0.05662258244879107,0.04686192971462124,0.0032061168431701424,0.9618620808103057,16.36587600578708,0.1730960426547229
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,henon,1,henon,1500,1,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.11518389445172579,0.03339665221790599,0.0266182129863556,0.001115336379363765,0.9867326704589336,12.628629523416752,0.09469434452338729
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,henon,2,henon,1500,2,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.16535875092330538,0.04794445197446811,0.03769631251142532,0.0022986704751320787,0.9726564834930842,14.024200283108565,0.1751731751181781
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,henon,3,henon,1500,3,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.44803081280283624,0.1299029635115613,0.10483598263133646,0.016874779929086026,0.79926839077923,28.910995898606235,0.3668695705154613
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,henon,4,henon,1500,4,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.27001754165087805,0.07828943424922727,0.06313641729786096,0.00612923551506408,0.9270905272008163,19.26989713122099,0.25413991191169616
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,lorenz,0,lorenz,1500,0,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.10035887464733258,0.02153085471083024,0.015785481293304662,0.00046357770457888076,0.9899280962795209,7.1517699214316455,0.07977342830377765
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,lorenz,1,lorenz,1500,1,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.14378736452533336,0.030847943101466643,0.02262366192714167,0.0009515955935913234,0.9793251938028589,8.849171412941844,0.10145449097771282
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,lorenz,2,lorenz,1500,2,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.08655925025234912,0.01857030230371619,0.013650341683753274,0.00034485612765140685,0.9925074961957512,6.587145404382483,0.06896295429315813
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,lorenz,3,lorenz,1500,3,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.16369598453255388,0.03511911101137889,0.02616789989906727,0.0012333519582295542,0.9732036246479179,9.857739268589773,0.12940596074905641
