model,1D-CNN/TCN,AR,ARIMA,ELM,ESN,ESN (reservoirpy),ETS,GRU,HistGradientBoosting,LSTM,LightGBM,Linear-Ridge,MLP,NG-RC,Naive,QRC-rich,QRC-v4,QRC-v6,RandomForest,SVR,Transformer,XGBoost,kNN
Linear-Ridge,0.8285714285714286,1.0,1.0,0.6071428571428571,0.0,0.0,0.4,0.8285714285714286,1.0,0.6,0.9428571428571428,1.0,0.8285714285714286,0.21428571428571427,1.0,0.6071428571428571,0.35714285714285715,0.35714285714285715,1.0,0.6571428571428571,0.8285714285714286,1.0,1.0
MLP,1.0,0.7,0.7,1.0,0.37142857142857144,0.37142857142857144,0.2,1.0,0.8285714285714286,0.8285714285714286,0.7714285714285715,0.8285714285714286,1.0,0.7142857142857143,0.8,1.0,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.9428571428571428,1.0,0.8285714285714286,0.8285714285714286
NG-RC,0.7142857142857143,0.6,0.6,0.7857142857142857,0.9285714285714286,0.9285714285714286,0.2,0.7142857142857143,0.4857142857142857,0.7714285714285715,0.6,0.21428571428571427,0.7142857142857143,1.0,0.8,0.7619047619047619,0.5714285714285714,0.5952380952380952,0.4857142857142857,0.8285714285714286,0.7142857142857143,0.4857142857142857,0.4857142857142857
Naive,0.8,1.0,1.0,0.8,0.8,0.8,0.4,0.8,1.0,0.8,1.0,1.0,0.8,0.8,1.0,0.8,0.4,0.4,1.0,0.8,0.8,1.0,1.0
QRC-rich,1.0,0.7,0.7,0.9761904761904762,0.5714285714285714,0.5714285714285714,0.2,1.0,0.8285714285714286,0.8285714285714286,0.7714285714285715,0.6071428571428571,1.0,0.7619047619047619,0.8,1.0,0.5333333333333333,0.6666666666666666,0.8285714285714286,0.9428571428571428,1.0,0.8285714285714286,0.8285714285714286
QRC-v4,0.8285714285714286,0.4,0.4,0.5952380952380952,0.42857142857142855,0.42857142857142855,0.4,0.8285714285714286,0.42857142857142855,0.8857142857142857,0.37142857142857144,0.35714285714285715,0.8285714285714286,0.5714285714285714,0.4,0.5333333333333333,1.0,0.9333333333333333,0.42857142857142855,0.9428571428571428,0.8285714285714286,0.42857142857142855,0.42857142857142855
QRC-v6,0.8285714285714286,0.4,0.4,0.6666666666666666,0.4523809523809524,0.4523809523809524,0.4,0.8285714285714286,0.42857142857142855,0.8857142857142857,0.37142857142857144,0.35714285714285715,0.8285714285714286,0.5952380952380952,0.4,0.6666666666666666,0.9333333333333333,1.0,0.42857142857142855,0.9428571428571428,0.8285714285714286,0.42857142857142855,0.42857142857142855
RandomForest,0.8285714285714286,1.0,1.0,0.8285714285714286,0.2,0.2,0.4,0.8285714285714286,1.0,0.6,0.9428571428571428,1.0,0.8285714285714286,0.4857142857142857,1.0,0.8285714285714286,0.42857142857142855,0.42857142857142855,1.0,0.6571428571428571,0.8285714285714286,1.0,1.0
SVR,0.9428571428571428,0.7,0.7,0.9428571428571428,0.6,0.6,0.2,0.9428571428571428,0.6571428571428571,0.9428571428571428,0.6,0.6571428571428571,0.9428571428571428,0.8285714285714286,0.8,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.6571428571428571,1.0,0.9428571428571428,0.6571428571428571,0.6571428571428571
Transformer,1.0,0.7,0.7,1.0,0.37142857142857144,0.37142857142857144,0.2,1.0,0.8285714285714286,0.8285714285714286,0.7714285714285715,0.8285714285714286,1.0,0.7142857142857143,0.8,1.0,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.9428571428571428,1.0,0.8285714285714286,0.8285714285714286
