system,model,seed,nrmse,n_features,n_points
mackeyglass,esn_tuned,7,0.0008154756129614658,300,1500
mackeyglass,esn_tuned,8,0.0006949979038556424,300,1500
mackeyglass,esn_tuned,9,0.001361867976774516,300,1500
mackeyglass,esn_tuned,10,0.0008666235151274376,300,1500
mackeyglass,esn_tuned,11,0.004950138618753939,300,1500
mackeyglass,esn_tuned,12,0.0006344687663045732,300,1500
mackeyglass,esn_tuned,13,0.0007127765632999104,300,1500
mackeyglass,esn_tuned,14,0.0008060867406569847,300,1500
mackeyglass,esn_tuned,15,0.0007328045465233645,300,1500
mackeyglass,esn_tuned,16,0.0004915321064596276,300,1500
mackeyglass,esn_tuned,17,0.0007577338284328611,300,1500
mackeyglass,esn_tuned,18,0.0006979771759481284,300,1500
mackeyglass,esn_tuned,19,0.0009175413587185142,300,1500
mackeyglass,elm,0,0.0017535296257687955,300,1500
mackeyglass,elm,1,0.0017200775647033888,300,1500
mackeyglass,elm,2,0.0017342536997163613,300,1500
mackeyglass,elm,3,0.001737437289835555,300,1500
mackeyglass,elm,4,0.0017408040108610465,300,1500
mackeyglass,elm,5,0.0017261663772547705,300,1500
mackeyglass,elm,6,0.0017546093286400816,300,1500
mackeyglass,elm,7,0.0017604296080932188,300,1500
mackeyglass,elm,8,0.001719176398708021,300,1500
mackeyglass,elm,9,0.001773080093045723,300,1500
mackeyglass,elm,10,0.0017454540449008123,300,1500
mackeyglass,elm,11,0.0016967401198529854,300,1500
mackeyglass,elm,12,0.0017254514557235759,300,1500
mackeyglass,elm,13,0.0017370934490878616,300,1500
mackeyglass,elm,14,0.0017579634433930555,300,1500
mackeyglass,elm,15,0.0017494757304637966,300,1500
mackeyglass,elm,16,0.0017170318888220756,300,1500
mackeyglass,elm,17,0.001728381127796747,300,1500
mackeyglass,elm,18,0.001787091118351614,300,1500
mackeyglass,elm,19,0.0017606652697867262,300,1500
lorenz96,ngrc,0,0.010850911295233433,91,1200
lorenz96,esn,0,0.10810116460544114,300,1200
lorenz96,esn,1,0.1080953218184613,300,1200
lorenz96,esn,2,0.14712560306343767,300,1200
lorenz96,esn,3,0.10048555386731199,300,1200
lorenz96,esn,4,0.15581827566688738,300,1200
lorenz96,esn,5,0.15428278763606004,300,1200
