system,spectral_radius,leak_rate,seed,nrmse,budget_note
mackeyglass,0.9,1.0,1,0.00096461400027658,14 configs/system == the quantum encoding-tune budget
mackeyglass,0.9,1.0,2,0.001126077166635121,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.1,0.3,0,0.005305937683403031,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.1,0.3,1,0.0056755815881026055,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.1,0.3,2,0.004781386799359708,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.1,1.0,0,0.000982986490772864,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.1,1.0,1,0.0007695401587381991,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.1,1.0,2,0.0008507781712321558,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.3,0.3,0,0.008178425970186736,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.3,0.3,1,0.00777044026866711,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.3,0.3,2,0.0806418881156111,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.3,1.0,0,0.0951504507587132,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.3,1.0,1,0.001786074104673325,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.3,1.0,2,0.00463739103806967,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.5,0.3,0,0.0426834495586018,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.5,0.3,1,0.1621424539916445,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.5,0.3,2,2.550021528265154,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.5,1.0,0,0.25264640839289515,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.5,1.0,1,0.1464119306958928,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.5,1.0,2,0.13695175078094476,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.7,0.3,0,1.8051326513107644,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.7,0.3,1,0.7263586263390498,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.7,0.3,2,4.36382415280808,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.7,1.0,0,0.39424628821731905,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.7,1.0,1,0.3757780101899282,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.7,1.0,2,0.32676433241149044,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.9,0.3,0,14.450574865743091,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.9,0.3,1,1.0285412850151547,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.9,0.3,2,3.801180549069774,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.9,1.0,0,0.48671126547166427,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.9,1.0,1,0.5086293351526952,14 configs/system == the quantum encoding-tune budget
mackeyglass,1.9,1.0,2,0.5030122581671072,14 configs/system == the quantum encoding-tune budget
lorenz96,0.7,0.3,0,0.08569038517687316,14 configs/system == the quantum encoding-tune budget
lorenz96,0.7,0.3,1,0.08730973623210568,14 configs/system == the quantum encoding-tune budget
lorenz96,0.7,0.3,2,0.0961639131054081,14 configs/system == the quantum encoding-tune budget
lorenz96,0.7,1.0,0,0.01082974419987811,14 configs/system == the quantum encoding-tune budget
lorenz96,0.7,1.0,1,0.010574857785072701,14 configs/system == the quantum encoding-tune budget
lorenz96,0.7,1.0,2,0.011341313508333489,14 configs/system == the quantum encoding-tune budget
lorenz96,0.9,0.3,0,0.10810116460544114,14 configs/system == the quantum encoding-tune budget
lorenz96,0.9,0.3,1,0.1080953218184613,14 configs/system == the quantum encoding-tune budget
lorenz96,0.9,0.3,2,0.14712560306343767,14 configs/system == the quantum encoding-tune budget
lorenz96,0.9,1.0,0,0.011440177920397324,14 configs/system == the quantum encoding-tune budget
lorenz96,0.9,1.0,1,0.011961725270031939,14 configs/system == the quantum encoding-tune budget
lorenz96,0.9,1.0,2,0.012892053944131,14 configs/system == the quantum encoding-tune budget
lorenz96,1.1,0.3,0,0.7330015696957602,14 configs/system == the quantum encoding-tune budget
lorenz96,1.1,0.3,1,0.4163834929636318,14 configs/system == the quantum encoding-tune budget
lorenz96,1.1,0.3,2,1.1192458604891224,14 configs/system == the quantum encoding-tune budget
lorenz96,1.1,1.0,0,0.04545407146193215,14 configs/system == the quantum encoding-tune budget
lorenz96,1.1,1.0,1,0.028717376036006804,14 configs/system == the quantum encoding-tune budget
lorenz96,1.1,1.0,2,0.06252362948075048,14 configs/system == the quantum encoding-tune budget
lorenz96,1.3,0.3,0,16.416446341588525,14 configs/system == the quantum encoding-tune budget
lorenz96,1.3,0.3,1,0.8390155990405598,14 configs/system == the quantum encoding-tune budget
lorenz96,1.3,0.3,2,3.7374407562938874,14 configs/system == the quantum encoding-tune budget
lorenz96,1.3,1.0,0,0.19365291551211578,14 configs/system == the quantum encoding-tune budget
lorenz96,1.3,1.0,1,0.07515019068734488,14 configs/system == the quantum encoding-tune budget
lorenz96,1.3,1.0,2,0.13210074855066217,14 configs/system == the quantum encoding-tune budget
lorenz96,1.5,0.3,0,2.8104377675812438,14 configs/system == the quantum encoding-tune budget
lorenz96,1.5,0.3,1,3.0733903232926365,14 configs/system == the quantum encoding-tune budget
lorenz96,1.5,0.3,2,11.717196730301238,14 configs/system == the quantum encoding-tune budget
lorenz96,1.5,1.0,0,0.37815709513498835,14 configs/system == the quantum encoding-tune budget
lorenz96,1.5,1.0,1,0.2722323395346573,14 configs/system == the quantum encoding-tune budget
