experiment,system,n,V,readout,vs,seed,dm_stat,p
readout,henon,8,4,poly2sq,elmF_same,1,13.427291577790866,5.625492038482831e-31
readout,henon,8,4,poly2sq,ngrc,1,13.458389012432479,4.430003266007767e-31
readout,henon,8,4,poly2sq,qrc_base,2,-9.316256447869272,8.442120149237862e-18
readout,henon,8,4,poly2sq,elmF_same,2,11.374839444079683,3.158462481625496e-24
readout,henon,8,4,poly2sq,ngrc,2,11.726578620146963,2.2939971956401686e-25
readout,henon,8,4,poly2sq,qrc_base,3,-9.125248508470019,3.1364593324925104e-17
readout,henon,8,4,poly2sq,elmF_same,3,11.805683778144274,1.268301570665804e-25
readout,henon,8,4,poly2sq,ngrc,3,11.91270875313605,5.67984623023538e-26
readout,henon,8,4,poly2sq,qrc_base,4,-9.518434946536368,2.0770946450961118e-18
readout,henon,8,4,poly2sq,elmF_same,4,10.583867226154641,1.053656516110565e-21
readout,henon,8,4,poly2sq,ngrc,4,10.798965793923996,2.199124517001055e-22
readout,henon,8,4,poly2int,qrc_base,0,-10.117030430632482,3.0397378343394135e-20
readout,henon,8,4,poly2int,elmF_same,0,0.8829133412535312,0.3781740122213171
readout,henon,8,4,poly2int,ngrc,0,11.657200081042832,3.854390278237241e-25
readout,henon,8,4,poly2int,qrc_base,1,-10.490969884104477,2.0659942626011633e-21
readout,henon,8,4,poly2int,elmF_same,1,4.065371868256938,6.51989954128122e-05
readout,henon,8,4,poly2int,ngrc,1,11.010668009627647,4.658160503176158e-23
readout,henon,8,4,poly2int,qrc_base,2,-10.158885645522046,2.2537917209926608e-20
readout,henon,8,4,poly2int,elmF_same,2,-0.18841254069756305,0.8507138228969329
readout,henon,8,4,poly2int,ngrc,2,9.78127220169411,3.2921231548844826e-19
readout,henon,8,4,poly2int,qrc_base,3,-10.056271010017088,4.688943509573447e-20
readout,henon,8,4,poly2int,elmF_same,3,-0.10992016130157413,0.9125653208472402
readout,henon,8,4,poly2int,ngrc,3,10.677370996654856,5.33912153225575e-22
readout,henon,8,4,poly2int,qrc_base,4,-10.204132338670302,1.630185604882796e-20
readout,henon,8,4,poly2int,elmF_same,4,1.7525640496428962,0.08096454663996626
readout,henon,8,4,poly2int,ngrc,4,10.599771472924147,9.387399068910119e-22
readout,henon,8,4,delay3,qrc_base,0,-4.614179765151476,6.452314787922203e-06
readout,henon,8,4,delay3,elmF_same,0,10.146616864695755,2.4604706433494627e-20
readout,henon,8,4,delay3,ngrc,0,10.531706473120702,1.5381728182020147e-21
readout,henon,8,4,delay3,qrc_base,1,-5.167843033777258,5.012567678201322e-07
readout,henon,8,4,delay3,elmF_same,1,10.30349037783651,7.989307977313891e-21
readout,henon,8,4,delay3,ngrc,1,10.373232007632957,4.835592993018983e-21
readout,henon,8,4,delay3,qrc_base,2,-6.620053573225821,2.36085930101186e-10
readout,henon,8,4,delay3,elmF_same,2,9.899583895282955,1.4271599651542964e-19
readout,henon,8,4,delay3,ngrc,2,10.121153569469772,2.9515256435741547e-20
readout,henon,8,4,delay3,qrc_base,3,-5.9132607808359685,1.1574100268419181e-08
readout,henon,8,4,delay3,elmF_same,3,10.125237879959988,2.8666553607878287e-20
readout,henon,8,4,delay3,ngrc,3,10.222664650688253,1.4274166018318617e-20
readout,henon,8,4,delay3,qrc_base,4,-6.282039662049638,1.5756371771999717e-09
readout,henon,8,4,delay3,elmF_same,4,10.123089431289738,2.91099209840385e-20
readout,henon,8,4,delay3,ngrc,4,10.25156957108819,1.160111269251747e-20
readout,henon,8,4,delay3+poly2,qrc_base,0,-8.611283752810639,1.0055621832212389e-15
readout,henon,8,4,delay3+poly2,elmF_same,0,8.87560577068548,1.71058065575137e-16
readout,henon,8,4,delay3+poly2,ngrc,0,8.939693632197317,1.1090134197179553e-16
readout,henon,8,4,delay3+poly2,qrc_base,1,-8.146207606075192,2.1236668871963587e-14
readout,henon,8,4,delay3+poly2,elmF_same,1,9.78805988690398,3.138324117163676e-19
readout,henon,8,4,delay3+poly2,ngrc,1,9.828409704523501,2.3608017534897646e-19
readout,henon,8,4,delay3+poly2,qrc_base,2,-9.296271536547518,9.690292339341309e-18
readout,henon,8,4,delay3+poly2,elmF_same,2,9.992473193054979,7.383400628043111e-20
readout,henon,8,4,delay3+poly2,ngrc,2,10.029703029109292,5.665631700713602e-20
readout,henon,8,4,delay3+poly2,qrc_base,3,-9.26883004674641,1.1707728009932548e-17
readout,henon,8,4,delay3+poly2,elmF_same,3,9.298102258308084,9.568711281639234e-18
readout,henon,8,4,delay3+poly2,ngrc,3,9.41960418759857,4.129170236069006e-18
readout,henon,8,4,delay3+poly2,qrc_base,4,-9.655539243427668,7.967004491485864e-19
readout,henon,8,4,delay3+poly2,elmF_same,4,8.784988812263233,3.1488161221640446e-16
readout,henon,8,4,delay3+poly2,ngrc,4,9.011666209899417,6.804747802766439e-17
vsweep,henon,6,4,base,elmF_sameF,0,12.369499100187053,1.2069859796493817e-28
vsweep,henon,6,4,base,elmF_sameF,1,12.614085447461637,1.6045771151192967e-29
vsweep,henon,6,4,base,elmF_sameF,2,11.870285092431368,7.134969919889645e-27
vsweep,henon,6,4,base,elmF_sameF,3,12.073561026523512,1.3641535497205734e-27
vsweep,henon,6,4,base,elmF_sameF,4,12.467036101565853,5.405686375201988e-29
vsweep,henon,6,8,base,elmF_sameF,0,12.596690272029822,1.852913716228671e-29
vsweep,henon,6,8,base,qrc_V4,0,-4.496702693321554,9.896781047522185e-06
vsweep,henon,6,8,base,elmF_sameF,1,13.346464082379317,3.572306692651955e-32
vsweep,henon,6,8,base,qrc_V4,1,-2.7744407176776837,0.00587883726332653
vsweep,henon,6,8,base,elmF_sameF,2,12.95337015335919,9.584354977761034e-31
vsweep,henon,6,8,base,qrc_V4,2,-2.057557911018244,0.040502358479777345
vsweep,henon,6,8,base,elmF_sameF,3,12.910575438210632,1.369044904838971e-30
vsweep,henon,6,8,base,qrc_V4,3,-2.1107375617350095,0.03562775970778817
vsweep,henon,6,8,base,elmF_sameF,4,12.503351686677386,4.00638076172574e-29
