experiment,system,n,V,model,readout,seed,nrmse,n_features,n_points
readout,lorenz,6,4,elmF,poly2int,4,0.00013612573206173094,4752,1500
readout,lorenz,6,4,qrc,delay3,0,0.007921370443512968,288,1500
readout,lorenz,6,4,qrc,delay3,1,0.00991186350822912,288,1500
readout,lorenz,6,4,qrc,delay3,2,0.0085614811499882,288,1500
readout,lorenz,6,4,qrc,delay3,3,0.007952493661427418,288,1500
readout,lorenz,6,4,qrc,delay3,4,0.007509943369213737,288,1500
readout,lorenz,6,4,elmF,delay3,0,0.0009325626070676252,288,1500
readout,lorenz,6,4,elmF,delay3,1,0.0006564982619461414,288,1500
readout,lorenz,6,4,elmF,delay3,2,0.0011830565894177679,288,1500
readout,lorenz,6,4,elmF,delay3,3,0.001343126505807608,288,1500
readout,lorenz,6,4,elmF,delay3,4,0.0008543018583887464,288,1500
readout,lorenz,6,4,qrc,delay3+poly2,0,0.00105034851712035,576,1500
readout,lorenz,6,4,qrc,delay3+poly2,1,0.0013872429104318004,576,1500
readout,lorenz,6,4,qrc,delay3+poly2,2,0.0011401086895709853,576,1500
readout,lorenz,6,4,qrc,delay3+poly2,3,0.0010475297660105202,576,1500
readout,lorenz,6,4,qrc,delay3+poly2,4,0.0009554051599753944,576,1500
readout,lorenz,6,4,elmF,delay3+poly2,0,0.0004520552586116931,576,1500
readout,lorenz,6,4,elmF,delay3+poly2,1,0.00020671780332624207,576,1500
readout,lorenz,6,4,elmF,delay3+poly2,2,0.0002900577948996575,576,1500
readout,lorenz,6,4,elmF,delay3+poly2,3,0.0004166461955352872,576,1500
readout,lorenz,6,4,elmF,delay3+poly2,4,0.0003800982623719524,576,1500
readout,lorenz,6,4,ngrc,base,0,0.0018550941268273865,56,1500
readout,lorenz,6,4,ngrc,base,1,0.0018550941268273865,56,1500
readout,lorenz,6,4,ngrc,base,2,0.0018550941268273865,56,1500
readout,lorenz,6,4,ngrc,base,3,0.0018550941268273865,56,1500
readout,lorenz,6,4,ngrc,base,4,0.0018550941268273865,56,1500
readout,lorenz,8,4,qrc,base,0,0.013634431488433773,128,1200
readout,lorenz,8,4,qrc,base,1,0.020724538815909,128,1200
readout,lorenz,8,4,qrc,base,2,0.01077262798027403,128,1200
readout,lorenz,8,4,qrc,base,3,0.010112746301186071,128,1200
readout,lorenz,8,4,qrc,base,4,0.010398172135410411,128,1200
readout,lorenz,8,4,elmF,base,0,0.00114265851876497,128,1200
readout,lorenz,8,4,elmF,base,1,0.0010379323333430698,128,1200
readout,lorenz,8,4,elmF,base,2,0.001036438226530679,128,1200
readout,lorenz,8,4,elmF,base,3,0.0011809894788401382,128,1200
readout,lorenz,8,4,elmF,base,4,0.0010041374666652715,128,1200
readout,lorenz,8,4,qrc,poly2sq,0,0.002435284341646558,256,1200
readout,lorenz,8,4,qrc,poly2sq,1,0.004624520860660303,256,1200
readout,lorenz,8,4,qrc,poly2sq,2,0.0021570636587023126,256,1200
readout,lorenz,8,4,qrc,poly2sq,3,0.001960806771357258,256,1200
readout,lorenz,8,4,qrc,poly2sq,4,0.002284328123633191,256,1200
readout,lorenz,8,4,elmF,poly2sq,0,0.0004423147018406762,256,1200
readout,lorenz,8,4,elmF,poly2sq,1,0.0004155025845527489,256,1200
