system,model,vs,seed,dm_stat,p
lorenz,arcsin,elmF,4,3.6151072659357104,0.00035237879081867013
lorenz,arcsin,ngrc,0,3.6124720275415445,0.0003558273279379734
lorenz,arcsin,ngrc,1,5.756191766722566,2.1373496334886124e-08
lorenz,arcsin,ngrc,2,10.02764927051138,1.3963598500983478e-20
lorenz,arcsin,ngrc,3,4.404034910567275,1.4831243131658074e-05
lorenz,arcsin,ngrc,4,3.6148733418026886,0.00035268363438882084
lorenz,arcsin,chebpoly,0,3.6155052684967135,0.0003518606938266131
lorenz,arcsin,chebpoly,1,5.756316089198296,2.1359344837450434e-08
lorenz,arcsin,chebpoly,2,10.035292668468784,1.3178409100972019e-20
lorenz,arcsin,chebpoly,3,4.40813168621869,1.4570421475356716e-05
lorenz,arcsin,chebpoly,4,3.617900517569721,0.00034875778596642925
lorenz,cheb,depth,0,3.9262296232556,0.00010724280214834406
lorenz,cheb,depth,1,3.548873198821557,0.00044932841243771634
lorenz,cheb,depth,2,5.108984664662654,5.794005507567264e-07
lorenz,cheb,depth,3,7.601785593103785,3.82694401627795e-13
lorenz,cheb,depth,4,3.53494288882735,0.0004726771424875779
lorenz,cheb,elmF,0,3.947347234100603,9.864282625558073e-05
lorenz,cheb,elmF,1,3.663026115919306,0.00029489624272633366
lorenz,cheb,elmF,2,5.17801825257258,4.133953436560633e-07
lorenz,cheb,elmF,3,7.6959774152020834,2.0749437443235918e-13
lorenz,cheb,elmF,4,3.5530538108929512,0.00044253511321774207
lorenz,cheb,ngrc,0,3.947111220111451,9.873521896333288e-05
lorenz,cheb,ngrc,1,3.6626604205679962,0.0002952993968279478
lorenz,cheb,ngrc,2,5.178183950030919,4.130587676733831e-07
lorenz,cheb,ngrc,3,7.695805094464566,2.0772778596067592e-13
lorenz,cheb,ngrc,4,3.5529907210212235,0.000442636911396759
lorenz,cheb,chebpoly,0,3.9475027215470218,9.858200221020561e-05
lorenz,cheb,chebpoly,1,3.662975666694667,0.00029495182871885927
lorenz,cheb,chebpoly,2,5.179007132986345,4.113905976294321e-07
lorenz,cheb,chebpoly,3,7.700431251255768,2.0155060205693974e-13
lorenz,cheb,chebpoly,4,3.553267127810611,0.0004421910799872259
mackeyglass,arcsin,depth,0,10.249709298582745,2.5770221922565093e-21
mackeyglass,arcsin,depth,1,5.672263231357584,3.334245955419397e-08
mackeyglass,arcsin,depth,2,10.061985879325398,1.0765005722566253e-20
mackeyglass,arcsin,depth,3,10.383477236862731,9.235449980498898e-22
mackeyglass,arcsin,depth,4,10.26249161333617,2.336936779064197e-21
mackeyglass,arcsin,elmF,0,10.300418587597509,1.747776429094271e-21
mackeyglass,arcsin,elmF,1,5.680356969242666,3.194967186123861e-08
mackeyglass,arcsin,elmF,2,10.108573677671922,7.55834888964875e-21
mackeyglass,arcsin,elmF,3,10.442920256012833,5.842253314010827e-22
mackeyglass,arcsin,elmF,4,10.317147987560862,1.53733750699217e-21
mackeyglass,arcsin,ngrc,0,10.296841005299893,1.7963688883862313e-21
mackeyglass,arcsin,ngrc,1,5.679960459945033,3.201656258120083e-08
mackeyglass,arcsin,ngrc,2,10.106258436229673,7.692500992760555e-21
